投票人       第一选票     第二选票     第三选票     第四选票     第五选票    
卢婷诚       赵峰磊       王健         熊敏         黎飞涛       段蕾宁      
李璐婷       邓阳浩       文霞鹏媛     王浩芸薇     高晶明       王健        
陆健佳浩     刘敏军       黎飞涛       陆锋璐       杨琪鹏兰     孔敏        
魏英东       邓阳浩       周涛         王健         曹璐静       赵凯蕾      
沈珍艳       阎雪英       董锋慧       彭欣晶       周涛         赖倩帆      
田峰阳       郑欣         毛鹏勇       彭欣晶       段蕾宁       夏杰浩      
戴阳涛       彭俊         赵阳梅丹     赵凯蕾       马宏翔       周涛        
何明琪       邓阳浩       曹璐静       于林刚       乔娜健       赵凯蕾      
钱凯慧       彭俊         彭欣晶       邓阳浩       康超红       唐鑫欣      
江峰莹       曹璐静       王浩芸薇     于林刚       熊敏         石刚浩      
魏丽欣       宋鹏鑫       赖倩帆       刘敏军       程阳丽博     康超红      
郭旭         曹璐静       赵峰磊       郑欣         阎雪英       王健        
马倩杰       蒋娜鑫       阎雪英       王建         于林刚       刘敏军      
何英         段蕾宁       唐鑫欣       董锋慧       潘芳成       黎飞涛      
郭瑜         乔娜健       李文阳       赵凯蕾       潘芳成       郑欣        
康华飞       马诚博       康蕾波       潘鹏东       潘芳成       金瑞        
于敏秀英     王浩芸薇     唐鑫欣       阎雪英       徐莹         王健        
姜鹏         康超红       阎雪英       马宏翔       董锋慧       周涛        
董鑫梅       金瑞         夏杰浩       段蕾宁       孔敏         黎飞涛      
石丽磊       刘阳慧婷     宋鹏鑫       张飞丽       石刚浩       赖倩帆      
熊文艳莹     文霞鹏媛     杨琪鹏兰     陆锋璐       阎雪英       孔敏        
胡鑫晶       程阳丽博     乔娜健       马宏翔       熊敏         吕倩慧      
廖媛欣       苏超鑫       康超红       赵峰磊       王健         李文阳      
常艳         蒋娜鑫       赵阳梅丹     曹璐静       黎飞涛       王健        
江静璐       邓阳浩       张飞丽       刘敏军       苏超鑫       黎飞涛      
冯雪霞       石刚浩       王建         程阳丽博     毛鹏勇       文霞鹏媛    
姜文璐       金瑞         邓阳浩       梁芳婷       蒋娜鑫       马宏翔      
梁波敏       邹超         王健         毛鹏勇       徐莹         王浩芸薇    
石明宇       彭欣晶       曹璐静       梁芳婷       周涛         程阳丽博    
苏文浩       于林刚       王建         赵凯蕾       毛鹏勇       马宏翔      
毛杰莹       周涛         王建         夏晶璐       赵凯蕾       程阳丽博    
宋瑜飞       康超红       黎飞涛       高晶明       王浩芸薇     刘阳慧婷    
姚华涛       徐莹         杨琪鹏兰     彭俊         宋鹏鑫       周涛        
魏鑫凯       苏超鑫       徐莹         黎飞涛       陆锋璐       金瑞        
孙丹         段蕾宁       杨琪鹏兰     董锋慧       夏杰浩       刘敏军      
孔琪建       马诚博       董锋慧       郑欣         陆锋璐       杨琪鹏兰    
常勇秀英     董锋慧       宋鹏鑫       刘阳慧婷     段蕾宁       张飞丽      
黄婷杰       杨琪鹏兰     康蕾波       蒋娜鑫       吕倩慧       康超红      
雷彬         张飞丽       王建         阎雪英       金瑞         董锋慧      
张帆峰       毛鹏勇       徐莹         文霞鹏媛     彭俊         董锋慧      
方红峰       金瑞         王健         毛鹏勇       彭欣晶       程阳丽博    
叶晶杰       于林刚       彭欣晶       熊敏         张飞丽       苏超鑫      
范璐梅       邓阳浩       马诚博       高晶明       孔敏         崔锋倩      
江珍军       吕倩慧       熊敏         夏晶璐       邹超         王健        
林珍         赵凯蕾       邓阳浩       蒋娜鑫       夏晶璐       乔娜健      
杨璐翔       金瑞         段蕾宁       康超红       赖倩帆       郑欣        
万秀英霞     赵阳梅丹     马宏翔       宋鹏鑫       夏晶璐       于林刚      
毛璐亮       熊敏         彭俊         高晶明       赵峰磊       夏晶璐      
罗丹         张飞丽       邹超         董锋慧       杨琪鹏兰     曹璐静      
蒋林         杨琪鹏兰     李文阳       于林刚       彭欣晶       赵峰磊      
汤媛秀英     石刚浩       黎飞涛       唐鑫欣       张飞丽       吕倩慧      
万欣晶       夏晶璐       马宏翔       马诚博       陆锋璐       彭欣晶      
陈莹佳       阎雪英       张飞丽       于林刚       彭俊         段蕾宁      
苏雪宁       董锋慧       马诚博       陆锋璐       夏晶璐       段蕾宁      
董健峰       夏晶璐       吕倩慧       彭俊         金瑞         彭欣晶      
何宁静       马诚博       曹璐静       杨琪鹏兰     乔娜健       徐莹        
石鹏         高晶明       王建         程阳丽博     周涛         马诚博      
马刚文磊     文霞鹏媛     于林刚       赖倩帆       段蕾宁       邹超        
魏云瑞       刘阳慧婷     马诚博       邓阳浩       康蕾波       杨琪鹏兰    
康峰东       潘鹏东       康蕾波       邓阳浩       金瑞         吕倩慧      
夏宁婷       赖倩帆       刘阳慧婷     夏杰浩       邹超         夏晶璐      
吕明浩       彭欣晶       董锋慧       赵阳梅丹     康蕾波       赵凯蕾      
吕帆彬       文霞鹏媛     杨琪鹏兰     金瑞         黎飞涛       邹超        
蒋诚东       董锋慧       王健         马诚博       梁芳婷       陆锋璐      
汪敏建       赵凯蕾       陆锋璐       邹超         彭俊         周涛        
崔云薇诚     梁芳婷       邹超         毛鹏勇       夏晶璐       夏杰浩      
江芳佳       程阳丽博     康超红       熊敏         宋鹏鑫       张飞丽      
